utc_time,symbol,side,price,qty,usd,rsi,pnl_usd
2025-03-05 11:05,AAVE-USD,BUY,218.9056,11.420447900830313,2500.0,36.56762733935314,
2025-03-05 17:00,AAVE-USD,SELL,214.96023856858847,11.420447900830313,2454.9422053226194,61.81486518326796,-45.057794677380656
2025-03-05 21:10,AAVE-USD,BUY,217.11491999999998,11.410874492924345,2477.4711026613095,30.96313721479403,
2025-03-05 21:25,AAVE-USD,SELL,215.66600397614314,11.410874492924345,2460.937703762292,60.010357305819596,-16.533398899017364
2025-03-05 21:35,SOL-USD,BUY,144.81369999999998,17.050903355219855,2469.204403211801,36.378389832046516,
2025-03-05 22:15,SOL-USD,SELL,144.95029821073558,17.050903355219855,2471.53352610155,62.42020356619669,2.3291228897486533
2025-03-05 22:25,LTC-USD,BUY,104.69442,23.595994558799557,2470.3689646566754,33.168570379634176,
2025-03-06 01:45,LTC-USD,SELL,105.2882703777336,23.595994558799557,2484.3814549384183,67.75129354832737,14.012490281743144
2025-03-06 01:45,UNI-USD,BUY,7.574174,327.0818982766367,2477.3752097975466,35.693153405369145,
2025-03-06 01:50,UNI-USD,SELL,7.561630218687873,327.0818982766367,2473.272365994409,67.75840154651917,-4.102843803137489
2025-03-06 03:50,UNI-USD,BUY,7.609384,325.29883994499136,2475.323787895978,33.85736731526984,
2025-03-06 04:55,UNI-USD,SELL,7.601391650099404,325.29883994499136,2472.7238857448797,76.60322070204771,-2.599902151098435
2025-03-06 05:35,ADA-USD,BUY,0.959221,2579.201077562344,2474.023836820429,37.181393692628234,
2025-03-06 08:45,ADA-USD,SELL,0.952286282306163,2579.201077562344,2456.137805471894,66.63842412843769,-17.886031348535102
2025-03-06 09:00,BTC-USD,BUY,91707.54348000001,0.026879804295311407,2465.0808211461617,33.82544526715077,
2025-03-06 10:25,BTC-USD,SELL,90955.39761431412,0.026879804295311407,2444.8632874749974,62.2498863096914,-20.217533671164265
2025-03-06 11:00,AAVE-USD,BUY,228.48272,10.744672745101159,2454.9720543105796,33.414674274796624,
