utc_time,equity_usd
2025-03-04 08:55,5000.0
2025-03-04 09:10,5000.0
2025-03-04 09:10,5000.0
2025-03-04 09:45,5000.0
2025-03-04 10:10,5000.0
2025-03-04 10:10,4996.2556165751375
2025-03-04 10:15,4986.444255205086
2025-03-04 10:20,4977.36874593779
2025-03-04 10:20,4977.36874593779
2025-03-04 10:20,4977.36874593779
2025-03-04 10:50,5001.897149362916
2025-03-04 10:50,5001.897149362916
2025-03-04 11:05,5027.161404890797
2025-03-04 11:10,5047.029411665149
2025-03-04 11:10,5047.029411665149
2025-03-04 11:10,5047.029411665149
2025-03-04 11:20,5043.2145897804785
2025-03-04 11:30,5043.2145897804785
2025-03-04 12:05,5043.2145897804785
2025-03-04 12:10,5030.454147896936
2025-03-04 12:10,5030.454147896936
2025-03-04 12:15,5028.657408684947
2025-03-04 12:15,5028.657408684947
2025-03-04 12:40,5037.641104744889
2025-03-04 12:45,5055.0095837941135
2025-03-04 12:45,5055.0095837941135
2025-03-04 13:10,5016.0802342010265
2025-03-04 13:10,5016.0802342010265
2025-03-04 13:10,5016.0802342010265
2025-03-04 13:10,5016.0802342010265
2025-03-04 13:10,5016.0802342010265
2025-03-04 13:10,5016.0802342010265
2025-03-04 13:10,5016.0802342010265
2025-03-04 13:15,5007.695451211747
2025-03-04 13:20,5003.503059717107
2025-03-04 13:20,5003.503059717107
2025-03-04 13:20,5003.503059717107
2025-03-04 13:20,5003.503059717107
2025-03-04 13:25,4992.123711374513
2025-03-04 13:25,4992.123711374513
2025-03-04 13:40,5010.690016565061
2025-03-04 13:40,5010.690016565061
2025-03-04 13:50,4998.711755151804
2025-03-04 13:50,4998.711755151804
2025-03-04 13:55,4998.711755151804
2025-03-04 14:00,4998.711755151804
2025-03-04 14:05,5017.8769734130165
2025-03-04 14:25,5031.053060967599
2025-03-04 14:25,5031.053060967599
2025-03-04 14:30,5032.250887108925
2025-03-04 14:35,5099.928064093827
2025-03-04 14:35,5099.928064093827
2025-03-04 14:35,5099.928064093827
2025-03-04 14:35,5099.928064093827
2025-03-04 14:35,5099.928064093827
2025-03-04 14:35,5099.928064093827
2025-03-04 14:35,5099.928064093827
2025-03-04 14:35,5099.928064093827
2025-03-04 14:35,5099.928064093827
2025-03-04 14:35,5096.066375472952
2025-03-04 14:35,5096.066375472952
2025-03-04 14:35,5096.066375472952
2025-03-04 14:45,5096.066375472952
2025-03-04 15:20,5096.066375472952
2025-03-04 16:25,5131.422511060094
2025-03-04 16:25,5131.422511060094
2025-03-04 16:25,5131.422511060094
2025-03-04 16:25,5131.422511060094
2025-03-04 16:25,5131.422511060094
2025-03-04 16:30,5098.831023607263
2025-03-04 16:35,5080.304016509077
2025-03-04 16:35,5080.304016509077
2025-03-04 16:35,5080.304016509077
2025-03-04 16:35,5080.304016509077
