final_equity,max_drawdown_usd,equity_csv,run_log
12165.50,1025.61,backtests/equity_90d_20260217_102751.csv,
12019.55,935.21,backtests/equity_90d_20260227_051210.csv,
11990.36,933.38,backtests/equity_90d_20260227_020559.csv,
11975.06,932.55,backtests/equity_90d_20260227_021053.csv,
11919.65,928.74,backtests/equity_90d_20260227_033653.csv,
11892.00,936.92,backtests/equity_90d_20260227_072035.csv,
11661.11,579.54,backtests/equity_90d_20260218_150513.csv,
11456.02,909.48,backtests/equity_90d_20260228_005747.csv,
11309.12,907.06,backtests/equity_90d_20260228_014401.csv,
10841.86,873.89,backtests/equity_90d_20260226_190347.csv,
10531.84,535.19,backtests/equity_90d_20260218_123359.csv,
10298.18,554.59,backtests/equity_90d_20260218_135545.csv,
9932.09,489.33,backtests/equity_90d_20260218_142408.csv,
9614.24,1968.66,backtests/equity_90d_20260225_205718.csv,
9581.79,1965.77,backtests/equity_90d_20260226_041524.csv,
9568.53,570.76,backtests/equity_90d_20260221_234743.csv,
9552.28,570.08,backtests/equity_90d_20260221_170054.csv,
9536.55,1965.47,backtests/equity_90d_20260226_021233.csv,
9535.14,678.28,backtests/equity_90d_20260228_010107.csv,
9475.63,1684.25,backtests/equity_90d_20260226_013656.csv,
9475.36,675.13,backtests/equity_90d_20260228_014659.csv,
9473.46,470.54,backtests/equity_90d_20260218_120522.csv,
9464.12,571.90,backtests/equity_90d_20260222_102302.csv,
9236.67,535.20,backtests/equity_90d_20260227_024840.csv,
9236.67,535.20,backtests/equity_90d_20260227_024928.csv,
9236.67,535.20,backtests/equity_90d_20260227_025015.csv,
9236.67,535.20,backtests/equity_90d_20260227_025103.csv,
9229.59,1704.05,backtests/equity_90d_20260226_054133.csv,
9210.79,576.22,backtests/equity_90d_20260224_180521.csv,
9210.66,569.71,backtests/equity_90d_20260223_113205.csv,
9168.04,567.07,backtests/equity_90d_20260223_113951.csv,
9153.52,975.18,backtests/equity_90d_20260227_020752.csv,
9130.26,576.22,backtests/equity_90d_20260224_180318.csv,
9127.65,565.51,backtests/equity_90d_20260223_111249.csv,
8916.81,577.70,backtests/equity_90d_20260220_024515.csv,
8873.44,801.46,backtests/equity_90d_20260227_012118.csv,
8873.44,801.46,backtests/equity_90d_20260227_012228.csv,
8736.41,1145.68,backtests/equity_90d_20260227_012636.csv,
8679.23,1138.18,backtests/equity_90d_20260227_012745.csv,
8523.06,408.47,backtests/equity_90d_20260218_102918.csv,
8388.75,582.07,backtests/equity_90d_20260218_091641.csv,
8157.99,997.85,backtests/equity_90d_20260227_012401.csv,
8157.99,997.85,backtests/equity_90d_20260227_012508.csv,
8042.32,993.60,backtests/equity_90d_20260227_072710.csv,
7960.29,972.46,backtests/equity_90d_20260227_034155.csv,
7930.60,972.16,backtests/equity_90d_20260227_052913.csv,
7913.14,761.20,backtests/equity_90d_20260223_192101.csv,
7876.59,548.09,backtests/equity_90d_20260217_133614.csv,
7529.62,436.27,backtests/equity_90d_20260218_084529.csv,
7524.56,570.84,backtests/equity_90d_20260217_153123.csv,
7516.34,436.13,backtests/equity_90d_20260218_035647.csv,
7487.96,434.67,backtests/equity_90d_20260217_164558.csv,
7340.37,456.73,backtests/equity_90d_20260217_160943.csv,
6947.45,1127.36,backtests/equity_90d_20260217_100046.csv,
6757.03,1114.26,backtests/equity_90d_20260217_110648.csv,
6719.43,709.04,backtests/equity_90d_20260224_184046.csv,
6532.33,874.40,backtests/equity_90d_20260224_025908.csv,
6493.90,872.51,backtests/equity_90d_20260224_031611.csv,
6469.01,868.72,backtests/equity_90d_20260223_203759.csv,
6379.42,150.99,backtests/equity_90d_20260217_045621.csv,
6375.13,150.89,backtests/equity_90d_20260217_051836.csv,
6307.65,501.88,backtests/equity_90d_20260227_164605.csv,
6261.79,503.33,backtests/equity_90d_20260227_145644.csv,
6261.79,503.33,backtests/equity_90d_20260227_145858.csv,
6261.79,503.33,backtests/equity_90d_20260227_150103.csv,
6248.14,502.23,backtests/equity_90d_20260227_145134.csv,
6244.60,501.95,backtests/equity_90d_20260227_143457.csv,
6244.60,501.95,backtests/equity_90d_20260227_143640.csv,
6238.66,926.05,backtests/equity_90d_20260223_104821.csv,
6229.55,562.29,backtests/equity_90d_20260218_055551.csv,
6223.69,500.27,backtests/equity_90d_20260227_160225.csv,
6205.44,502.07,backtests/equity_90d_20260227_160421.csv,
6165.84,923.16,backtests/equity_90d_20260223_095944.csv,
6165.00,553.68,backtests/equity_90d_20260218_053454.csv,
6159.79,875.43,backtests/equity_90d_20260224_011515.csv,
6139.09,918.13,backtests/equity_90d_20260223_083823.csv,
6137.50,918.91,backtests/equity_90d_20260223_091755.csv,
6129.85,933.68,backtests/equity_90d_20260222_121859.csv,
6001.74,744.38,backtests/equity_90d_20260218_042844.csv,
5939.71,808.06,backtests/equity_90d_20260223_195451.csv,
5887.52,921.37,backtests/equity_90d_20260226_034815.csv,
5865.52,922.00,backtests/equity_90d_20260226_095111.csv,
5768.29,147.90,backtests/equity_90d_20260217_055559.csv,
5751.28,147.09,backtests/equity_90d_20260217_090006.csv,
5725.52,755.48,backtests/equity_90d_20260225_080211.csv,
5724.37,774.50,backtests/equity_90d_20260225_085022.csv,
5720.62,930.60,backtests/equity_90d_20260222_121852.csv,
5685.03,776.57,backtests/equity_90d_20260225_080354.csv,
5664.90,927.58,backtests/equity_90d_20260223_115846.csv,
5658.30,926.49,backtests/equity_90d_20260223_122316.csv,
5658.30,926.49,backtests/equity_90d_20260223_122329.csv,
5643.64,939.57,backtests/equity_90d_20260223_190034.csv,
5639.25,929.22,backtests/equity_90d_20260223_165937.csv,
5637.39,925.51,backtests/equity_90d_20260223_102839.csv,
5636.38,923.52,backtests/equity_90d_20260223_175620.csv,
5629.96,927.94,backtests/equity_90d_20260222_114145.csv,
5623.67,70.77,backtests/equity_90d_20260217_145558.csv,
5623.36,921.39,backtests/equity_90d_20260223_173123.csv,
5615.40,921.07,backtests/equity_90d_20260223_041909.csv,
5603.94,923.65,backtests/equity_90d_20260222_111900.csv,
5602.11,917.29,backtests/equity_90d_20260223_122000.csv,
5601.75,923.37,backtests/equity_90d_20260224_021400.csv,
5601.51,773.59,backtests/equity_90d_20260224_181816.csv,
5600.82,927.39,backtests/equity_90d_20260223_201553.csv,
5600.35,773.59,backtests/equity_90d_20260224_183602.csv,
5598.23,922.46,backtests/equity_90d_20260223_170613.csv,
5596.18,913.94,backtests/equity_90d_20260225_115935.csv,
5596.18,913.94,backtests/equity_90d_20260225_115941.csv,
5584.59,920.91,backtests/equity_90d_20260223_094004.csv,
5573.93,918.13,backtests/equity_90d_20260223_083810.csv,
5572.49,918.91,backtests/equity_90d_20260223_091813.csv,
5570.90,1192.69,backtests/equity_90d_20260225_045640.csv,
5562.25,924.14,backtests/equity_90d_20260224_031610.csv,
5559.39,581.66,backtests/equity_90d_20260218_050645.csv,
5557.20,69.81,backtests/equity_90d_20260217_150150.csv,
5557.15,773.59,backtests/equity_90d_20260224_191156.csv,
5499.23,1177.27,backtests/equity_90d_20260225_032724.csv,
5492.56,718.12,backtests/equity_90d_20260224_174706.csv,
5333.63,741.41,backtests/equity_90d_20260225_020214.csv,
5306.47,938.08,backtests/equity_90d_20260223_190012.csv,
5247.57,975.72,backtests/equity_90d_20260218_012604.csv,
5233.69,586.25,backtests/equity_90d_20260227_040204.csv,
5230.47,790.12,backtests/equity_90d_20260225_070721.csv,
5227.04,970.29,backtests/equity_90d_20260218_030546.csv,
5202.04,1309.96,backtests/equity_90d_20260222_041053.csv,
5199.72,1309.37,backtests/equity_90d_20260222_053654.csv,
5140.97,25.62,backtests/equity_90d_20260215_060622.csv,
5131.84,775.48,backtests/equity_90d_20260225_034355.csv,
5130.78,293.48,backtests/equity_90d_20260227_020016.csv,
5129.29,25.56,backtests/equity_90d_20260215_060326.csv,
5123.26,52.96,backtests/equity_90d_20260216_160825.csv,
5123.26,52.96,backtests/equity_90d_20260216_161024.csv,
5123.26,52.96,backtests/equity_90d_20260216_161030.csv,
5123.14,1302.81,backtests/equity_90d_20260220_050102.csv,
5114.54,1300.63,backtests/equity_90d_20260221_063617.csv,
5114.53,1300.62,backtests/equity_90d_20260222_045724.csv,
5112.45,26.63,backtests/equity_90d_20260215_071656.csv,
5112.45,26.63,backtests/equity_90d_20260215_071702.csv,
5110.31,1299.55,backtests/equity_90d_20260220_132344.csv,
5108.97,35.63,backtests/equity_90d_20260215_074331.csv,
5106.11,25.48,backtests/equity_90d_20260215_074359.csv,
5106.11,25.48,backtests/equity_90d_20260215_074621.csv,
5106.05,25.70,backtests/equity_90d_20260215_082633.csv,
5106.05,25.70,backtests/equity_90d_20260215_082639.csv,
5106.05,25.70,backtests/equity_90d_20260215_082920.csv,
5106.05,25.70,backtests/equity_90d_20260215_082926.csv,
5106.05,25.70,backtests/equity_90d_20260215_082933.csv,
5106.05,25.70,backtests/equity_90d_20260215_082939.csv,
5105.21,1298.25,backtests/equity_90d_20260221_181016.csv,
5104.72,56.68,backtests/equity_90d_20260216_160817.csv,
5104.51,25.48,backtests/equity_90d_20260215_074107.csv,
5102.98,52.75,backtests/equity_90d_20260216_155418.csv,
5102.98,52.75,backtests/equity_90d_20260216_160233.csv,
5102.32,54.14,backtests/equity_90d_20260216_123615.csv,
5102.32,54.14,backtests/equity_90d_20260216_123736.csv,
5101.94,54.15,backtests/equity_90d_20260216_123216.csv,
5101.66,54.15,backtests/equity_90d_20260216_123333.csv,
5100.71,1297.11,backtests/equity_90d_20260221_105614.csv,
5099.48,52.72,backtests/equity_90d_20260216_155625.csv,
5099.26,44.96,backtests/equity_90d_20260215_104239.csv,
5099.26,44.96,backtests/equity_90d_20260215_104256.csv,
5096.72,53.93,backtests/equity_90d_20260216_162254.csv,
5095.44,53.94,backtests/equity_90d_20260216_161241.csv,
5094.31,44.91,backtests/equity_90d_20260215_110235.csv,
5093.06,54.13,backtests/equity_90d_20260216_121833.csv,
5092.82,44.91,backtests/equity_90d_20260215_110412.csv,
5092.24,44.91,backtests/equity_90d_20260215_105504.csv,
5092.24,44.91,backtests/equity_90d_20260215_105701.csv,
5089.59,53.94,backtests/equity_90d_20260216_140829.csv,
5089.23,36.40,backtests/equity_90d_20260215_073134.csv,
5089.10,44.91,backtests/equity_90d_20260215_111454.csv,
5088.56,30.84,backtests/equity_90d_20260215_082305.csv,
5088.46,53.94,backtests/equity_90d_20260216_141503.csv,
5088.26,44.88,backtests/equity_90d_20260215_102730.csv,
5088.12,44.91,backtests/equity_90d_20260215_110723.csv,
5087.83,966.71,backtests/equity_90d_20260218_015850.csv,
5085.58,52.96,backtests/equity_90d_20260216_155426.csv,
5085.22,38.73,backtests/equity_90d_20260215_073656.csv,
5085.22,38.73,backtests/equity_90d_20260215_073702.csv,
5085.22,38.73,backtests/equity_90d_20260215_073707.csv,
