run_ts,label,days,offsets,pass_count,offset_count,avg_final,worst_dd,min_final,score
20260302_003629,BASE_38_60_FIXED,365,0\ 270\ 540\ 810,0,4,3499.665,1508.9,0,-256.76
20260302_003629,DYN_38_60,365,0\ 270\ 540\ 810,0,4,3499.665,1508.9,0,-256.76
20260302_003629,MACRO_DYN_38_60,365,0\ 270\ 540\ 810,0,4,3499.665,1508.9,0,-256.76
20260302_003629,REGIME_42_62,365,0\ 270\ 540\ 810,0,4,3499.665,1508.9,0,-256.76
